Identifier,Rated,Votes,Bayesian_Score,Wilson_Score,BTL_Score,DM_Score,My_WRS
Citizen Kane,4.15,456832,4.149913928541725,4.144539707688292,4.462365591397849,4.149956767950057,3.9169521041553343
Vikram,4.15,67117,4.149414526478777,4.1356963359298335,4.462365591397849,4.149705759661512,3.340513672197105
Lawrence of Arabia,4.15,306106,4.149871554044344,4.143325748827155,4.462365591397849,4.149935480920321,3.7966119455802607
To Kill a Mockingbird,4.15,326568,4.149879600940548,4.143538865281149,4.462365591397849,4.149939523475609,3.8160603044759274
The Apartment,4.15,190504,4.149793630676869,4.141532670630687,4.462365591397849,4.149896330357096,3.6540683086889683
Metropolis,4.15,181085,4.149782899494852,4.1413143759238285,4.462365591397849,4.1498909382075215,3.6388278725459577
Singin' in the Rain,4.15,253638,4.14984498872631,4.142665610443684,4.462365591397849,4.149922134653825,3.740099373085621
The Sting,4.15,273190,4.149856080734885,4.1429338175018025,4.462365591397849,4.149927707315288,3.7624188980650524
Dangal,4.15,202232,4.149805595653593,4.141782808686225,4.462365591397849,4.14990234230136,3.6720245289314324
North by Northwest,4.15,339059,4.149884035811494,4.143659350667023,4.462365591397849,4.149941751409764,3.8273421645044676
M,4.15,164487,4.1497609990458075,4.140884876824264,4.462365591397849,4.14987993337062,3.6099334686027342
A Separation,4.15,253151,4.149844690581791,4.142658535032036,4.462365591397849,4.149921984863089,3.7395217228590627
Double Indemnity,4.15,163505,4.14975956406102,4.140857429651962,4.462365591397849,4.149879212280594,3.6081337208785906
Ikiru,4.15,84152,4.149532974276146,4.137234870338777,4.462365591397849,4.14976531958126,3.408496185988281
Like Stars on Earth,4.15,201860,4.149805237482047,4.141775211739363,4.462365591397849,4.149902162336216,3.6714711464488703
Bicycle Thieves,4.15,170630,4.149769601007734,4.141051148009938,4.462365591397849,4.149884255867788,3.6209538052500307
K.G.F: Chapter 2,4.15,143124,4.149725337700979,4.14022528372904,4.462365591397849,4.149862012590042,3.5681194447176416
Chhichhore,4.15,60072,4.149345921626027,4.134875166014559,4.462365591397849,4.149671255222465,3.3071837663953527
Kantara,4.15,98374,4.149600458221573,4.1381988284720705,4.462365591397849,4.1497992457739965,3.4554290566014667
The Young and the Damned,4.15,21502,4.148175366555308,4.124601353831922,4.462365591397849,4.149081694332078,2.998395493898366
To Live,4.15,19802,4.148019116461818,4.123520702182065,4.462365591397849,4.149002877770485,2.9736414637418944
Shershaah,4.15,126672,4.149689678982339,4.139606932171438,4.462365591397849,4.149844091666207,3.5314179383753923
Satya,4.15,16192,4.1475788388129535,4.120680015164962,4.462365591397849,4.148780638389826,2.9131519467833917
Maanaadu,4.15,24336,4.148387414910195,4.126142557707449,4.462365591397849,4.149188611807239,3.0356067404453175
The Cranes Are Flying,4.15,19020,4.1479378867330885,4.122975223631404,4.462365591397849,4.148961892247043,2.961531859108381
Red Beard,4.15,20450,4.148081731707317,4.1239486143353385,4.462365591397849,4.149034465900757,2.9833190762467776
Ayla: The Daughter of War,4.15,42476,4.149075283356065,4.131989475347773,4.462365591397849,4.149535086273864,3.203009494625374
Children of Paradise,4.15,20741,4.148108580635852,4.124134170520232,4.462365591397849,4.1490480092547966,2.9875656780373006
Raatchasan,4.15,48347,4.149187459966527,4.133127152192284,4.462365591397849,4.149591537061549,3.2419209440926453
Jana Gana Mana,4.15,15424,4.1474586726121245,4.1199491069599325,4.462365591397849,4.148719942964548,2.8985477725645756
Super Deluxe,4.15,16744,4.147658419673693,4.121173730659552,4.462365591397849,4.148820825123888,2.923226997995976
Ordet,4.15,16896,4.147679422872654,4.121305378339458,4.462365591397849,4.148831430092894,2.9259429962319445
Jaane Bhi Do Yaaro,4.15,14522,4.14730136563272,4.1190170040254195,4.462365591397849,4.148640462586908,2.8804370893345066
Samurai Rebellion,4.15,13595,4.1471180285818985,4.1179630564287315,4.462365591397849,4.148547794117648,2.860612599613575
Chupke Chupke,4.15,13005,4.146987782458829,4.117233767222321,4.462365591397849,4.148481936971561,2.8472781930010744
Bangalore Days,4.15,21700,4.148191977011494,4.124718829831814,4.462365591397849,4.149090071412117,3.0011504140780336
The Diamond Arm,4.15,15695,4.147502413464593,4.120213191147738,4.462365591397849,4.148742038216561,2.9037824686402693
Agent Sai Srinivasa Athreya,4.15,15626,4.147491420005103,4.120146610159592,4.462365591397849,4.148736485189688,2.9024582759396282
Drishyam,4.15,43127,4.149089225745189,4.132127045192337,4.462365591397849,4.149542103310767,3.2075809551717342
"Kidnapping, Caucasian Style",4.15,13042,4.146996295447602,4.117280966127276,4.462365591397849,4.148486242047981,2.8481320314495235
Khosla Ka Ghosla!,4.15,24667,4.148409009993123,4.1263049018536035,4.462365591397849,4.1491994974059665,3.0396670481918857
Baasha,4.15,11151,4.146489197393091,4.114572705574608,4.462365591397849,4.148229652205091,2.8010541090102774
Anniyan,4.15,20194,4.148057473819403,4.123782044541721,4.462365591397849,4.14902222882321,2.979532971351894
Cat City,4.15,10462,4.146259084855404,4.113405827649361,4.462365591397849,4.148113117416643,2.781886149365973
Premam,4.15,22133,4.148227268629131,4.124970177881425,4.462365591397849,4.149107868822839,3.007088490166299
Kaun Pravin Tambe?,4.15,10944,4.146423094415136,4.114233861562981,4.462365591397849,4.1481961822997535,2.7954227335886555
Lucia,4.15,12799,4.146939489454433,4.116967216579154,4.462365591397849,4.148457513277101,2.8424795272619368
Soodhu Kavvum,4.15,11036,4.146452778278911,4.114385648014053,4.462365591397849,4.148211212752468,2.7979386019082537
Sairat,4.15,13943,4.147189701993854,4.118371135652721,4.462365591397849,4.148584026383711,2.868208918215496
From the Village to the City,4.15,11539,4.146606739149194,4.115182841814401,4.462365591397849,4.148289154539155,2.811333467834495
The Wolf of Wall Street,4.1,1512702,4.099975657278919,4.09693473184557,4.408602150537634,4.099987109202244,4.225298192321131
The Great Escape,4.1,253230,4.0998546095230575,4.092493848941009,4.408602150537634,4.099922996426244,3.6945598949233425
The Vaccine War,4.1,19593,4.098125311815913,4.0727892317604555,4.408602150537634,4.099005000510256,2.9346638984462645
No Country for Old Men,4.1,1024884,4.099964071345082,4.096274955856283,4.408602150537634,4.09998097354933,4.109693711812539
Taxi Driver,4.1,887315,4.0999585012931545,4.095996110557538,4.408602150537634,4.099978023711851,4.066894231074427
Spider-Man: No Way Home,4.1,833734,4.09995583448471,4.0958692303160165,4.408602150537634,4.099976611385578,4.048399077009971
Shutter Island,4.1,1398809,4.099973675331109,4.096812215762785,4.408602150537634,4.099986059619077,4.202054748422236
Jurassic Park,4.1,1036409,4.0999644708570235,4.096295758468059,4.408602150537634,4.099981185124863,4.113014229642996
Howl's Moving Castle,4.1,425490,4.099913464069182,4.094213585486733,4.408602150537634,4.0999541710243355,3.8486550787038776
There Will Be Blood,4.1,620171,4.099940626808831,4.0952091509478885,4.408602150537634,4.099968557312763,3.9605285986255807
Batman Begins,4.1,1537037,4.099976042670324,4.09695912596775,4.408602150537634,4.099987313293976,4.230037098565056
The Thing,4.1,448363,4.099917878161427,4.094363476137844,4.408602150537634,4.099956508939085,3.864203398774997
The Truman Show,4.1,1148969,4.099967951356766,4.0964821621665495,4.408602150537634,4.0999830283365855,4.143629782757879
Snatch,4.1,887658,4.09995851732777,4.095996885541094,4.408602150537634,4.099978032203663,4.067008994206352
